Text,Author,Date
"3è session d'information à l'Université des Grands Lacs.
#Vivre_et_travailler_en_Allemagne https://t.co/5nWQmxnmcA",DEUTSCHZENTRUM UB,Tue Oct 22 10:18:57 +0000 2024
"[#Presse]💊Vente de la filiale #Doliprane de #Sanofi : qui a le pouvoir, l’État ou les multinationales?

🔍Retrouvez l'analyse de @stephaniedamero, Professeur des universités à l'Université @Paris_Dauphine - PSL sur @XerfiCanal.  

À découvrir en ligne⬇️
https://t.co/EKjL0rQsYa https://t.co/8bkq6EhiGP",Université Paris Dauphine - PSL,Tue Oct 22 10:18:36 +0000 2024
"Le processus pour postuler au Chevening peut être long. L’autre chose intéressante avec le Chevening, c’est que vous choisissez vous-même l’université ou la formation que vous souhaitez suivre.",L'homme Takander🇸🇳,Tue Oct 22 10:18:33 +0000 2024
La place des composantes dans l’université | https://t.co/JYPgd0FIJH  https://t.co/2dqq3WlVC5,ULR_TVES,Tue Oct 22 10:16:26 +0000 2024
"@Mahtarus Yes bro , je viens de passer devant la porte. Le contraste est bizarre , il y a bcp d’étudiants qui reviennent à l’université avec les valises .",🇸🇳Abdou Touré🏆⭐️,Tue Oct 22 10:14:48 +0000 2024
"@AlcarazEGCFA @pmartin_UdeM Poster sur Twitter, c'est tu comme à l'université de la Vie?",Samuel Turcotte,Tue Oct 22 10:14:20 +0000 2024
"@jimanel @IsralMutombo11 Bisengimana était le président des étudiants rwandais à l'université Lovanium, puis directeur de cabinet de Mobutu et initiateur de la citoyenneté collective des faux et demi-vrais réfugiés rwandais.
300 km offerts à l'Est avec tous les AFDL, RCD, M23, ...",mukanya jm,Tue Oct 22 10:14:06 +0000 2024
@Frontieresmedia @droiteuniv VIREZ MOI CES IMMONDICES QUI POURRISENT L ECOLE ET L UNIVERSITÉ !!!,Blue angel,Tue Oct 22 10:13:47 +0000 2024
"@Alliocha3 @Manouck44 ""La propagande islamiste"" = Juif israélien, fils de juifs allemands exilés, service militaire actif pendant la guerre de 73, diplômé de l'université hébraïque de Jérusalem, prof d'université israélienne… https://t.co/ui0LDVOtaM",Emmanuel Dee,Tue Oct 22 10:13:16 +0000 2024
"#OCTOBRE_ROSE🌸🌸

L’Université Cheikh Anta Diop de Dakar s’engage !

#compublique #comdigitale #campagne #mobilisation @Praminataniang https://t.co/ruFDQ7LNhk",Université Cheikh Anta Diop de Dakar,Tue Oct 22 10:13:06 +0000 2024
"Imagine tu prépare un exposé pdt 3 semaines, le jour où tu passe ton prof n'écoute pas ton exposé et t'accuse de plagiat. Donc tu demande un entretien pour en parler avec lui et il te donne rdv à L'ACCUEIL mdr à l'accueil de l'université",BlackRavenY,Tue Oct 22 10:11:46 +0000 2024
"""Les trous dans les formations qu’ils permettent de combler équivalent aux services à temps plein de 25 000 enseignants-chercheurs.""
Il faut lire ce papier d'@AliceRaybaud pour prendre la mesure de ce qui se joue à l'université.

https://t.co/95GBxpMvTe",Hugo Touzet,Tue Oct 22 10:11:37 +0000 2024
Crapules de l'EN. Probablement pas si différentes de ce qu'on doit aussi rencontrer à l'université &amp; dans la recherche.,pl berzy,Tue Oct 22 10:11:08 +0000 2024
"✨ Quel bonheur de mettre en avant les innovations au sein du secteur ferroviaire ! 🚄

Je vous invite à lire la tribune, que j'ai co-écrite avec David Liling, Directeur général adjoint France @IKOS_GROUP 👉 https://t.co/q4Do4hFgyQ

#Formation #Innovation #Ferroviaire #IKOSGROUP https://t.co/5qL3JVLX4b",Pierre Gibbe - Dir Université de l'Ingénierie,Tue Oct 22 10:10:25 +0000 2024
"👤 Économiste hétérodoxe, et intellectuel engagé, Bruno Amable est professeur à l’Université de Genève. Ses travaux permettent d’appréhender les réformes économiques des... 
➡️ Bruno Amable : la dynamique du néolibéralisme. Par @TomConnan : https://t.co/GfSMrfmyEk",Who's Who in France,Tue Oct 22 10:10:00 +0000 2024
"🚽 #Université Joseph-Ki-Zerbo : problème d'#assainissement
Des toilettes impraticables rendent la vie des #étudiants difficile.
#BurkinaFaso  #Sante  #education https://t.co/VU5Zo4EYGv",Amad Coulibarou,Tue Oct 22 10:05:17 +0000 2024
"🔴 %161 Hôpital Maisonneuve-Rosemont
🔴 %172 Hôpital général juif - Jewish General Hospital
🔴 %139 Centre hospitalier de l'Université de Montréal (CHUM)
🔴 %141 Hôpital Cité-de-la-Santé
🔴 %123 Hôpital de l'Enfant-Jésus",ERinfo,Tue Oct 22 10:05:03 +0000 2024
"https://t.co/q5OeEZ74dZ
Voici la reponse de Mme la Ministre 1199 en CDD contre 416 en CDI (surement les même perosnne en CDI depuis 20 ans recrutés lors de l'université).",BlindSwane,Tue Oct 22 10:04:49 +0000 2024
"@pmartin_UdeM Plagiat a l’université = note de 0 + sévère avertissement ⚠️ 
Vous êtes non seulement coupable de plagiat mais en plus menteur . On est rendu a deux vilains défauts.",Jean-Marc Alcaraz,Tue Oct 22 10:04:46 +0000 2024
"@coupdetrix @LCI Il insulte deux opposants politiques certes, mais a quel moment il harcèle, menace et insulte les Français? D'ailleurs sa justification me semble convenable, il n'a pas insulté le président de l'université de Lille de nazi, il a dit qu'il s'était comporté de la même manière",Un Citoyen Français,Tue Oct 22 10:03:09 +0000 2024
"La 3ème vague de massification (années 2010) de l'université s'est en partie faite via l'extension du nombre et de l'usage des vacataires. @lemondefr analyse le cas de l'@UGrenobleAlpes, qui compte désormais 3 vacataires pour 1 enseignant(e) titulaire.

https://t.co/AZMzUGnU5o",Ismail Ferhat,Tue Oct 22 10:02:51 +0000 2024
Les gens qui tiennent les porte ouvertes de l’université quand il caille allez vois faire foutre BOUGE TA RACE T PAS PORTIER,ℰ𝓁𝓁𝒶⸆⸉ 🧣🍂,Tue Oct 22 10:02:28 +0000 2024
"🛑 Stop au harcèlement sexuel et sexiste !

Découvrez la formation ""Prévenir le harcèlement sexiste et sexuel"" de @Universite_Caen

🎯 Comprendre, identifier, agir
💼 Créez un environnement de travail sain
💡 Tutorat motivationnel personnalisé

https://t.co/Gi0FhWec5c https://t.co/pksxFVwfVu",UNICAMP,Tue Oct 22 10:00:15 +0000 2024
"Une douzaine d’étudiants ayant occupé l'Université du Minnesota ont été arrêtés pour avoir exigé le désinvestissement immédiat des entreprises liées à Israël.
Plus de 50 voitures de police, ainsi que des ambulances, des camions de pompiers et deux hélicoptères ont été mobilisés https://t.co/2sod65RvB8",TRT Français,Tue Oct 22 10:00:01 +0000 2024
"OA | @psl_univ organise une formation ""Kit de survie en Open Science pour le doctorat"". 
Cette formation aura lieu le 28/11, à @Paris_Dauphine. Inscrivez-vous ! 👉 https://t.co/TwTN9J7x6q #OAWeek https://t.co/2GaBss6ang",BU de l'Université Paris Dauphine – PSL,Tue Oct 22 10:00:00 +0000 2024
"🎓Intervention matinale à l’Université Toulouse Capitole sur « Les politiques culturelles au service des territoires » pour les étudiants prépa talents du  M2 droit des collectivités territoriales de @NathalieMader.
Des étudiants concernés &amp; réactifs pour de riches échanges… https://t.co/XEu2taSoIf",Jérôme Sion,Tue Oct 22 09:59:44 +0000 2024
"Bah alors ! l'Université est réservée qu'aux personnes d'extrême gauche ? Depuis le temps qu'on le dit que les profs sont des pires raclures a faire la cancel culture française et a bourrer le crâne aux plus jeunes .... 
Sortez-moi tous ces connards VITE !!",purgans flamma,Tue Oct 22 09:59:05 +0000 2024
J’aurais pu faire l’université mais j’ai fait de la cité mon univers,GTAd,Tue Oct 22 09:59:03 +0000 2024
"@Gouvci Lol a l'université de Man il ya un business mafieux au sein de l'administration, qui oblige les étudiants en Master de payer 300k.  lol pôle d'excellence ? Non",𓅓 Π Λ Ξ ☻︎,Tue Oct 22 09:58:45 +0000 2024
